game_id,primary_mechanics,side_activities,platforms,evidence_status
gta_san_andreas,"driving, combat, pursuit/escape",state-scale variety,PlayStation 2,using documented design and review evidence only
gta_iv,"driving, combat, pursuit/escape",dense urban and social systems,"PlayStation 3, Xbox 360",using documented design and review evidence only
crackdown,"combat, traversal/platforming","rooftop races, vehicle power fantasy, collectible loops",Xbox 360,using documented design and review evidence only
assassins_creed,"stealth, traversal/platforming","climbing, crowd-stealth, historical city exploration","PlayStation 3, Xbox 360",using documented design and review evidence only
